lead_id,enrollment_id,enrollment_datetime,course,enrollment_value
L0001,E00001,2026-03-22 06:00:00,MBA em Gestão,12452.29
L0002,E00002,2026-04-17 23:00:00,Data Science,12460.15
L0004,E00003,2026-05-15 04:00:00,Marketing Digital,6168.05
L0005,E00004,2026-03-28 03:00:00,Marketing Digital,10716.95
L0006,E00005,2026-03-27 08:00:00,MBA em Gestão,18950.31
L0009,E00006,2026-05-02 08:00:00,MBA em Gestão,13223.0
L0012,E00007,2026-05-16 00:00:00,Engenharia de Software,12965.5
L0013,E00008,2026-06-09 04:00:00,Agronegócio,10503.71
L0014,E00009,2026-06-13 14:00:00,Agronegócio,19283.22
L0015,E00010,2026-04-29 12:00:00,MBA em Gestão,7437.46
L0016,E00011,2026-04-19 09:00:00,Engenharia de Software,20622.21
L0020,E00012,2026-04-20 06:00:00,Engenharia de Software,9772.03
L0024,E00013,2026-07-11 14:00:00,Marketing Digital,17185.69
L0024,E00014,2026-07-28 14:00:00,Agronegócio,19898.73
L0025,E00015,2026-06-07 14:00:00,MBA em Gestão,12894.72
L0026,E00016,2026-03-11 07:00:00,MBA em Gestão,6776.8
L0027,E00017,2026-03-10 22:00:00,Engenharia de Software,10008.71
L0029,E00018,2026-04-17 12:00:00,Agronegócio,20626.35
L0030,E00019,2026-03-30 09:00:00,Marketing Digital,6730.69
L0033,E00020,2026-03-27 22:00:00,Marketing Digital,16810.75
L0034,E00021,2026-03-10 08:00:00,Data Science,10398.7
L0037,E00022,2026-07-21 07:00:00,MBA em Gestão,17362.82
L0038,E00023,2026-08-30 01:00:00,Engenharia de Software,10725.67
L0041,E00024,2026-03-10 00:00:00,Data Science,20780.66
L0043,E00025,2026-02-18 09:00:00,MBA em Gestão,19003.7
L0046,E00026,2026-07-20 06:00:00,Marketing Digital,11761.86
L0048,E00027,2026-05-18 10:00:00,MBA em Gestão,8596.28
L0050,E00028,2026-06-10 21:00:00,Agronegócio,11949.08
L0051,E00029,2026-06-02 20:00:00,Agronegócio,17463.86
L0055,E00030,2026-04-07 06:00:00,Marketing Digital,22245.06
L0057,E00031,2026-04-14 09:00:00,MBA em Gestão,9743.75
L0059,E00032,2026-04-05 03:00:00,Agronegócio,20723.49
L0060,E00033,2026-04-13 15:00:00,Agronegócio,13885.9
L0062,E00034,2026-01-17 16:00:00,MBA em Gestão,13963.14
L0064,E00035,2026-02-10 21:00:00,Data Science,4697.22
L0066,E00036,2026-02-06 11:00:00,Agronegócio,6088.42
L0067,E00037,2026-05-30 00:00:00,Agronegócio,12364.48
L0069,E00038,2026-03-31 00:00:00,Engenharia de Software,23407.21
L0072,E00039,2026-02-12 07:00:00,MBA em Gestão,17816.36
L0074,E00040,2026-08-08 18:00:00,Data Science,17817.28
L0075,E00041,2026-03-31 14:00:00,Engenharia de Software,6271.17
L0077,E00042,2026-02-01 21:00:00,Data Science,11211.84
L0082,E00043,2026-06-12 21:00:00,Agronegócio,12149.88
L0083,E00044,2026-04-04 01:00:00,MBA em Gestão,4142.71
L0084,E00045,2026-03-18 00:00:00,Engenharia de Software,17554.69
L0085,E00046,2026-05-27 16:00:00,Agronegócio,10876.32
L0089,E00047,2026-04-30 02:00:00,Engenharia de Software,5399.7
L0092,E00048,2026-05-30 07:00:00,Engenharia de Software,7408.66
L0094,E00049,2026-08-15 16:00:00,Engenharia de Software,16995.38
L0096,E00050,2026-04-21 03:00:00,MBA em Gestão,7791.34
L0096,E00051,2026-06-03 03:00:00,Agronegócio,7623.76
L0100,E00052,2026-04-27 07:00:00,MBA em Gestão,23610.83
L0101,E00053,2026-05-20 06:00:00,Engenharia de Software,17005.84
L0103,E00054,2026-02-10 21:00:00,Marketing Digital,11816.0
L0104,E00055,2026-03-06 05:00:00,MBA em Gestão,11433.21
L0107,E00056,2026-05-04 08:00:00,Marketing Digital,18316.47
L0109,E00057,2026-04-21 09:00:00,Data Science,7004.56
L0110,E00058,2026-04-10 14:00:00,Agronegócio,6772.2
L0111,E00059,2026-06-10 21:00:00,Marketing Digital,9205.43
L0119,E00060,2026-06-17 10:00:00,Data Science,6737.49
L0120,E00061,2026-06-05 04:00:00,Data Science,16725.32
L0120,E00062,2026-07-15 04:00:00,Agronegócio,22800.28
