lead_id,interaction_id,interaction_datetime,channel,platform,campaign_name,campaign_type,course,click_id,cost
L0001,I000001,2026-03-15 08:00:00,Meta Ads,Meta,Meta Ads - MBA em Gestão,especifica,MBA em Gestão,FBCLID_523abd325501,1.64
L0002,I000002,2026-01-28 20:00:00,Google Ads,Google,Google Ads - Remarketing,remarketing,Data Science,GCLID_365290273735,7.75
L0002,I000003,2026-02-10 05:00:00,Google Ads,Google,Google Ads - Data Science,especifica,Data Science,GCLID_77017cf454b4,8.88
L0002,I000004,2026-02-12 19:00:00,E-mail,CRM,E-mail - Data Science,especifica,Data Science,,0.0
L0002,I000005,2026-02-16 15:00:00,E-mail,CRM,E-mail - Performance,performance,Data Science,,0.0
L0002,I000006,2026-02-17 16:00:00,Meta Ads,Meta,Meta Ads - Remarketing,remarketing,Data Science,FBCLID_cc43031e294b,7.86
L0002,I000007,2026-03-02 12:00:00,E-mail,CRM,E-mail - Performance,performance,Data Science,,0.0
L0002,I000008,2026-03-04 23:00:00,E-mail,CRM,E-mail - Data Science,especifica,Data Science,,0.0
L0002,I000009,2026-03-06 22:00:00,E-mail,CRM,E-mail - Marca Institucional,institucional,Data Science,,0.0
L0002,I000010,2026-03-18 07:00:00,Orgânico,Site,Orgânico - Data Science,especifica,Data Science,,0.0
L0002,I000011,2026-03-19 08:00:00,Google Ads,Google,Google Ads - Data Science,especifica,Data Science,GCLID_bd4dc83166db,7.85
L0002,I000012,2026-03-25 21:00:00,TikTok Ads,TikTok,TikTok Ads - Performance,performance,Data Science,,4.63
L0002,I000013,2026-04-02 14:00:00,Meta Ads,Meta,Meta Ads - Marca Institucional,institucional,Data Science,FBCLID_42ab6d0178ca,1.6
L0003,I000014,2026-02-12 10:00:00,Meta Ads,Meta,Meta Ads - Performance,performance,Agronegócio,FBCLID_25a327c9bc34,5.55
L0003,I000015,2026-02-14 04:00:00,Meta Ads,Meta,Meta Ads - Remarketing,remarketing,Agronegócio,FBCLID_330328d5d04e,2.82
L0003,I000016,2026-02-14 18:00:00,LinkedIn Ads,LinkedIn,LinkedIn Ads - Marca Institucional,institucional,Agronegócio,,5.89
L0003,I000017,2026-02-25 11:00:00,Orgânico,Site,Orgânico - Marca Institucional,institucional,Agronegócio,,0.0
L0003,I000018,2026-03-01 12:00:00,LinkedIn Ads,LinkedIn,LinkedIn Ads - Remarketing,remarketing,Agronegócio,,1.56
L0004,I000019,2026-04-25 20:00:00,Meta Ads,Meta,Meta Ads - Marca Institucional,institucional,Marketing Digital,FBCLID_678ddb6803c8,8.17
L0004,I000020,2026-05-01 20:00:00,Meta Ads,Meta,Meta Ads - Marketing Digital,especifica,Marketing Digital,FBCLID_86045dc50a1d,2.27
L0004,I000021,2026-05-06 03:00:00,TikTok Ads,TikTok,TikTok Ads - Performance,performance,Marketing Digital,,2.63
L0005,I000022,2026-02-03 10:00:00,TikTok Ads,TikTok,TikTok Ads - Marketing Digital,especifica,Marketing Digital,,6.61
L0005,I000023,2026-02-11 19:00:00,Orgânico,Site,Orgânico - Performance,performance,Marketing Digital,,0.0
L0005,I000024,2026-02-15 08:00:00,LinkedIn Ads,LinkedIn,LinkedIn Ads - Performance,performance,Marketing Digital,,7.24
L0005,I000025,2026-02-25 17:00:00,Google Ads,Google,Google Ads - Marketing Digital,especifica,Marketing Digital,GCLID_dad17b04d51d,2.64
L0005,I000026,2026-03-09 20:00:00,Orgânico,Site,Orgânico - Marca Institucional,institucional,Marketing Digital,,0.0
L0005,I000027,2026-03-19 19:00:00,LinkedIn Ads,LinkedIn,LinkedIn Ads - Remarketing,remarketing,Marketing Digital,,8.11
L0006,I000028,2026-03-12 15:00:00,TikTok Ads,TikTok,TikTok Ads - MBA em Gestão,especifica,MBA em Gestão,,1.33
L0007,I000029,2026-03-05 09:00:00,LinkedIn Ads,LinkedIn,LinkedIn Ads - Remarketing,remarketing,Agronegócio,,3.99
L0007,I000030,2026-03-05 17:00:00,TikTok Ads,TikTok,TikTok Ads - Agronegócio,especifica,Agronegócio,,3.91
L0007,I000031,2026-03-18 13:00:00,Orgânico,Site,Orgânico - Marca Institucional,institucional,Agronegócio,,0.0
L0007,I000032,2026-03-30 18:00:00,E-mail,CRM,E-mail - Marca Institucional,institucional,Agronegócio,,0.0
L0007,I000033,2026-04-12 12:00:00,LinkedIn Ads,LinkedIn,LinkedIn Ads - Marca Institucional,institucional,Agronegócio,,7.22
L0007,I000034,2026-04-24 04:00:00,TikTok Ads,TikTok,TikTok Ads - Agronegócio,especifica,Agronegócio,,8.72
L0007,I000035,2026-04-29 04:00:00,TikTok Ads,TikTok,TikTok Ads - Remarketing,remarketing,Agronegócio,,4.85
L0007,I000036,2026-05-10 19:00:00,E-mail,CRM,E-mail - Agronegócio,especifica,Agronegócio,,0.0
L0007,I000037,2026-05-22 09:00:00,LinkedIn Ads,LinkedIn,LinkedIn Ads - Performance,performance,Agronegócio,,3.02
L0007,I000038,2026-05-25 18:00:00,LinkedIn Ads,LinkedIn,LinkedIn Ads - Marca Institucional,institucional,Agronegócio,,2.67
L0007,I000039,2026-06-02 04:00:00,TikTok Ads,TikTok,TikTok Ads - Remarketing,remarketing,Agronegócio,,2.31
L0007,I000040,2026-06-11 23:00:00,Google Ads,Google,Google Ads - Remarketing,remarketing,Agronegócio,GCLID_d21179e3359d,7.28
L0007,I000041,2026-06-22 01:00:00,Meta Ads,Meta,Meta Ads - Performance,performance,Agronegócio,FBCLID_cba13ed55148,2.09
L0007,I000042,2026-06-28 04:00:00,Orgânico,Site,Orgânico - Agronegócio,especifica,Agronegócio,,0.0
L0008,I000043,2026-01-28 08:00:00,E-mail,CRM,E-mail - Marca Institucional,institucional,Agronegócio,,0.0
L0008,I000044,2026-02-01 13:00:00,TikTok Ads,TikTok,TikTok Ads - Remarketing,remarketing,Agronegócio,,8.97
L0008,I000045,2026-02-08 15:00:00,E-mail,CRM,E-mail - Marca Institucional,institucional,Agronegócio,,0.0
L0008,I000046,2026-02-20 16:00:00,Orgânico,Site,Orgânico - Remarketing,remarketing,Agronegócio,,0.0
L0008,I000047,2026-02-22 06:00:00,Google Ads,Google,Google Ads - Agronegócio,especifica,Agronegócio,GCLID_4c8e50111cd3,8.57
L0009,I000048,2026-03-29 18:00:00,E-mail,CRM,E-mail - Performance,performance,MBA em Gestão,,0.0
L0009,I000049,2026-04-08 06:00:00,Orgânico,Site,Orgânico - MBA em Gestão,especifica,MBA em Gestão,,0.0
L0009,I000050,2026-04-09 20:00:00,E-mail,CRM,E-mail - Performance,performance,MBA em Gestão,,0.0
L0009,I000051,2026-04-15 16:00:00,LinkedIn Ads,LinkedIn,LinkedIn Ads - Remarketing,remarketing,MBA em Gestão,,6.69
L0009,I000052,2026-04-27 01:00:00,TikTok Ads,TikTok,TikTok Ads - MBA em Gestão,especifica,MBA em Gestão,,8.21
L0010,I000053,2026-03-16 23:00:00,Orgânico,Site,Orgânico - Marketing Digital,especifica,Marketing Digital,,0.0
L0010,I000054,2026-03-17 20:00:00,LinkedIn Ads,LinkedIn,LinkedIn Ads - Performance,performance,Marketing Digital,,4.05
L0010,I000055,2026-03-28 19:00:00,Meta Ads,Meta,Meta Ads - Performance,performance,Marketing Digital,FBCLID_4cb4a6afc8f0,7.09
L0010,I000056,2026-04-10 12:00:00,Meta Ads,Meta,Meta Ads - Marketing Digital,especifica,Marketing Digital,FBCLID_f2ec899e761b,7.99
L0010,I000057,2026-04-23 05:00:00,Meta Ads,Meta,Meta Ads - Remarketing,remarketing,Marketing Digital,FBCLID_6a2144379bda,3.8
L0011,I000058,2026-05-09 22:00:00,Orgânico,Site,Orgânico - Performance,performance,Agronegócio,,0.0
L0011,I000059,2026-05-16 18:00:00,E-mail,CRM,E-mail - Agronegócio,especifica,Agronegócio,,0.0
L0012,I000060,2026-05-08 05:00:00,Google Ads,Google,Google Ads - Engenharia de Software,especifica,Engenharia de Software,GCLID_a6dc3b6dd7fc,5.7
L0012,I000061,2026-05-12 09:00:00,E-mail,CRM,E-mail - Marca Institucional,institucional,Engenharia de Software,,0.0
L0013,I000062,2026-05-21 06:00:00,Meta Ads,Meta,Meta Ads - Marca Institucional,institucional,Agronegócio,FBCLID_19a10418bb3b,5.08
L0014,I000063,2026-05-02 05:00:00,Google Ads,Google,Google Ads - Marca Institucional,institucional,Agronegócio,GCLID_27080705ffe9,8.0
L0014,I000064,2026-05-03 07:00:00,Orgânico,Site,Orgânico - Remarketing,remarketing,Agronegócio,,0.0
L0014,I000065,2026-05-08 02:00:00,TikTok Ads,TikTok,TikTok Ads - Marca Institucional,institucional,Agronegócio,,3.36
L0014,I000066,2026-05-17 23:00:00,E-mail,CRM,E-mail - Marca Institucional,institucional,Agronegócio,,0.0
L0014,I000067,2026-05-29 15:00:00,Google Ads,Google,Google Ads - Marca Institucional,institucional,Agronegócio,GCLID_0ff563bac34e,2.56
L0014,I000068,2026-06-06 10:00:00,Orgânico,Site,Orgânico - Remarketing,remarketing,Agronegócio,,0.0
L0015,I000069,2026-04-28 02:00:00,Meta Ads,Meta,Meta Ads - MBA em Gestão,especifica,MBA em Gestão,FBCLID_276b7aa87335,6.57
L0016,I000070,2026-01-26 22:00:00,TikTok Ads,TikTok,TikTok Ads - Marca Institucional,institucional,Engenharia de Software,,5.63
